Game_Id,Abbreviation,Name,Genres,Platforms,Total_Runs,Release_Date
679,blaster_master,Blaster Master,Action,"Nintendo Entertainment System, Wii Virtual Console, Nintendo 3DS Virtual Console, Switch",105.0,2017-03-28
680,one_step_from_eden,One Step From Eden,Roguelike,"PlayStation 4, PC, Switch",230.0,1988-01-01
681,cyberpunk_2077,Cyberpunk 2077,Action,"PlayStation 4, Xbox One, PC, Xbox One X, PlayStation 4 Pro, Xbox One S, Google Stadia, PlayStation 5, Xbox Series X, Xbox Series S",97.0,2020-03-26
682,frostrunner,FrostRunner,First-person shooter,PC,175.0,2020-12-10
683,pikmin3,Pikmin 3,Strategy,Wii U,82.0,2019-01-01
684,virtua_racing,Virtua Racing,Racing,"Sega Genesis, Sega Saturn, Arcade, PlayStation 2, Wii, Sega 32X, Switch",214.0,2013-07-13
685,waveland,WaveLand,2D Platformer,PC,87.0,1992-08-01
686,quac,Quick & Crash,Misc,"Arcade, PlayStation 2",198.0,2017-04-18
687,shvr,SUPERHOT VR,First-person shooter,"PlayStation 4, PC, HTC Vive, Oculus VR",114.0,1999-01-01
688,cave_story_plus,Cave Story+,2D Platformer,"Nintendo 3DS, PC, Wii, Macintosh, Linux, Switch, DSi",183.0,2016-12-05
689,enderlilies,ENDER LILIES: Quietus of the Knights,2D Platformer,"PlayStation 4, Xbox One, PC, Switch, PlayStation 5, Xbox Series X",105.0,2010-03-22
690,donutcounty,Donut County,Puzzle,"PlayStation 4, Xbox One, PC, Android, iOS, Switch",128.0,2021-01-21
691,lcu,LEGO City Undercover,3D Platformer,"Wii U, PlayStation 4, Xbox One, PC, Switch",111.0,2018-08-28
692,super_c,Super C,Action,"Nintendo Entertainment System, Wii Virtual Console, Nintendo 3DS, Wii U Virtual Console, NES Classic Mini",123.0,2013-03-18
693,redball3,Red Ball 3,2D Platformer,Web,75.0,1990-01-01
694,kamiko,Kamiko,Action,"PlayStation 4, Xbox One, PC, Switch",121.0,2011-09-22
695,karlson2d,Karlson 2D,Action,"PC, Macintosh, Linux",144.0,2017-04-13
696,hand_simulator,Hand Simulator,Misc,PC,182.0,2019-10-13
697,pkmnoras,Pokémon Omega Ruby/Alpha Sapphire,RPG,"Nintendo 3DS, New Nintendo 3DS",104.0,2017-07-18
698,glover,Glover,3D Platformer,Nintendo 64,58.0,2014-11-21
699,rblx_entrypoint,ROBLOX: Entry Point,Action,"Xbox, Xbox One, PC, Macintosh, Xbox Series X, Xbox Series S",156.0,1998-10-31
700,sma2,Super Mario Advance 2: Super Mario World,2D Platformer,"Game Boy Advance, Nintendo DS, Wii U Virtual Console, Game Boy Player, Game Boy Interface",161.0,2017-04-14
701,lrff13,Lightning Returns: Final Fantasy XIII,RPG,"PlayStation 3, Xbox 360, PC",105.0,2001-12-14
702,monstrum,Monstrum,Horror,"PlayStation 4, Xbox One, PC, Switch",139.0,2013-01-01
703,lsw2,LEGO Star Wars II: The Original Trilogy (Console),Action-Adventure,"GameCube, PlayStation 2, PlayStation Portable, Xbox 360, Xbox, Xbox One, PC, Xbox One X, Xbox One S, Xbox Series X, Xbox Series S",129.0,2015-01-01
704,gssh1,Garfield's Scary Scavenger Hunt,Horror,Web,103.0,2006-09-11
705,oneshot,OneShot,RPG,PC,111.0,2002-01-01
706,cv3dc,Castlevania III: Dracula's Curse,Action,"Nintendo Entertainment System, Wii Virtual Console, Nintendo 3DS, Wii U Virtual Console",99.0,2014-06-30
707,azure_dreams,Azure Dreams,Roguelike,"PlayStation 2, PlayStation, PlayStation 3",128.0,1989-12-22
708,mslugx,Metal Slug X,Action,"Wii Virtual Console, Arcade, PlayStation 2, PlayStation, PlayStation 3, PlayStation Portable, Xbox, PlayStation 4, Xbox One, PC, Wii, Android, iOS, Neo Geo AES, Switch",193.0,1997-11-13
709,fpa1,The Fancy Pants Adventures: World 1,2D Platformer,Web,121.0,1999-05-27
710,chip_n_dale_rescue_rangers_2,Chip 'n Dale Rescue Rangers 2,2D Platformer,Nintendo Entertainment System,91.0,2006-03-14
711,ssx3,SSX 3,Sports,"GameCube, PlayStation 2, Xbox 360, Xbox, Xbox One, Wii",98.0,1993-01-01
712,outlast2,Outlast 2,Horror,"PlayStation 4, Xbox One, PC, Switch, Xbox One X, PlayStation 4 Pro, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S, Nintendo Switch Lite, SwitchOLED",129.0,2003-01-01
